PRICE_DATE,PRICE_YEAR,PRICE_MONTH,REGION_NAME,ISLAND_GROUP,MARKET_NAME,PROVINCE_NAME,COMMODITY_NAME,COMMODITY_CATEGORY,UNIT,PRICE_TYPE,PRICE_PHP,PRICE_USD,PRICE_USD_CURRENT_RATE,CURRENT_USD_PHP_RATE,REGIONAL_FOOD_CPI,PRICE_TO_CPI_RATIO,MONTHLY_BSP_RATE
2000-01-15,2000,1,National Capital Region,Luzon,Metro Manila,Metropolitan Manila,Maize flour (yellow),Cereals And Tubers,KG,Retail,15,0.3717,0.3717,,,,
2000-01-15,2000,1,National Capital Region,Luzon,Metro Manila,Metropolitan Manila,"Rice (milled, superior)",Cereals And Tubers,KG,Wholesale,18.35,0.4548,0.4548,,,,
2000-01-15,2000,1,National Capital Region,Luzon,Metro Manila,Metropolitan Manila,"Rice (milled, superior)",Cereals And Tubers,KG,Retail,20,0.4957,0.4957,,,,
2000-01-15,2000,1,National Capital Region,Luzon,Metro Manila,Metropolitan Manila,"Rice (regular, milled)",Cereals And Tubers,KG,Wholesale,16.35,0.4052,0.4052,,,,
2000-01-15,2000,1,Region III - Central Luzon,Luzon,Palayan,Nueva Ecija,"Rice (milled, superior)",Cereals And Tubers,KG,Wholesale,18,0.4461,0.4461,,,,
2000-01-15,2000,1,Region III - Central Luzon,Luzon,Palayan,Nueva Ecija,"Rice (milled, superior)",Cereals And Tubers,KG,Retail,19,0.4709,0.4709,,,,
2000-01-15,2000,1,Region III - Central Luzon,Luzon,Palayan,Nueva Ecija,"Rice (regular, milled)",Cereals And Tubers,KG,Retail,18.1,0.4486,0.4486,,,,
2000-01-15,2000,1,Region IX - Zamboanga Peninsula,Mindanao,Zamboanga City,Zamboanga del Sur,"Rice (regular, milled)",Cereals And Tubers,KG,Retail,16.9,0.4188,0.4188,,,,
2000-01-15,2000,1,Region VI - Western Visayas,Visayas,Iloilo City,Iloilo,"Rice (milled, superior)",Cereals And Tubers,KG,Wholesale,15.6,0.3866,0.3866,,,,
2000-01-15,2000,1,Region VI - Western Visayas,Visayas,Iloilo City,Iloilo,"Rice (milled, superior)",Cereals And Tubers,KG,Retail,20.4,0.5056,0.5056,,,,
2000-01-15,2000,1,Region VI - Western Visayas,Visayas,Iloilo City,Iloilo,"Rice (regular, milled)",Cereals And Tubers,KG,Retail,17.8,0.4411,0.4411,,,,
2000-01-15,2000,1,Region VI - Western Visayas,Visayas,Iloilo City,Iloilo,"Rice (regular, milled)",Cereals And Tubers,KG,Wholesale,14.7,0.3643,0.3643,,,,
2000-01-15,2000,1,Region VII - Central Visayas,Visayas,Cebu City,Cebu,Maize flour (white),Cereals And Tubers,KG,Retail,14.9,0.3693,0.3693,,,,
2000-01-15,2000,1,Region VII - Central Visayas,Visayas,Cebu City,Cebu,"Rice (milled, superior)",Cereals And Tubers,KG,Retail,19.6,0.4857,0.4857,,,,
2000-01-15,2000,1,Region VII - Central Visayas,Visayas,Cebu City,Cebu,"Rice (milled, superior)",Cereals And Tubers,KG,Wholesale,18.7,0.4634,0.4634,,,,
2000-01-15,2000,1,Region VII - Central Visayas,Visayas,Cebu City,Cebu,"Rice (regular, milled)",Cereals And Tubers,KG,Retail,18.1,0.4486,0.4486,,,,
2000-01-15,2000,1,Region VII - Central Visayas,Visayas,Cebu City,Cebu,"Rice (regular, milled)",Cereals And Tubers,KG,Wholesale,16.9,0.4188,0.4188,,,,
2000-01-15,2000,1,Region XI - Davao,Mindanao,Davao City,Davao del Sur,Maize flour (white),Cereals And Tubers,KG,Wholesale,12.1,0.2999,0.2999,,,,
2000-01-15,2000,1,Region XI - Davao,Mindanao,Davao City,Davao del Sur,Maize flour (yellow),Cereals And Tubers,KG,Retail,12.55,0.311,0.311,,,,
2000-01-15,2000,1,Region XI - Davao,Mindanao,Davao City,Davao del Sur,Maize flour (yellow),Cereals And Tubers,KG,Wholesale,11.4,0.2825,0.2825,,,,
2000-01-15,2000,1,Region XI - Davao,Mindanao,Davao City,Davao del Sur,"Rice (milled, superior)",Cereals And Tubers,KG,Retail,18.9,0.4684,0.4684,,,,
2000-01-15,2000,1,Region XI - Davao,Mindanao,Davao City,Davao del Sur,"Rice (milled, superior)",Cereals And Tubers,KG,Wholesale,16.4,0.4064,0.4064,,,,
2000-01-15,2000,1,Region XI - Davao,Mindanao,Davao City,Davao del Sur,"Rice (regular, milled)",Cereals And Tubers,KG,Wholesale,15.35,0.3804,0.3804,,,,
2000-01-15,2000,1,Region XII - SOCCSKSARGEN,Mindanao,Koronadal,South Cotabato,"Rice (milled, superior)",Cereals And Tubers,KG,Retail,18,0.4461,0.4461,,,,
2000-01-15,2000,1,Region XII - SOCCSKSARGEN,Mindanao,Koronadal,South Cotabato,"Rice (milled, superior)",Cereals And Tubers,KG,Wholesale,16,0.3965,0.3965,,,,
2000-01-15,2000,1,Region XII - SOCCSKSARGEN,Mindanao,Koronadal,South Cotabato,"Rice (regular, milled)",Cereals And Tubers,KG,Retail,16.5,0.4089,0.4089,,,,
2000-02-15,2000,2,National Capital Region,Luzon,Metro Manila,Metropolitan Manila,Maize flour (yellow),Cereals And Tubers,KG,Retail,15.75,0.3877,0.3877,,,,
2000-02-15,2000,2,National Capital Region,Luzon,Metro Manila,Metropolitan Manila,"Rice (milled, superior)",Cereals And Tubers,KG,Wholesale,18.35,0.4517,0.4517,,,,
2000-02-15,2000,2,National Capital Region,Luzon,Metro Manila,Metropolitan Manila,"Rice (milled, superior)",Cereals And Tubers,KG,Retail,20,0.4923,0.4923,,,,
2000-02-15,2000,2,Region III - Central Luzon,Luzon,Palayan,Nueva Ecija,Meat (pork),"Meat, Fish And Eggs",KG,Retail,77,1.8954,1.8954,,,,
2000-02-15,2000,2,Region III - Central Luzon,Luzon,Palayan,Nueva Ecija,"Rice (milled, superior)",Cereals And Tubers,KG,Wholesale,18,0.4431,0.4431,,,,
2000-02-15,2000,2,Region III - Central Luzon,Luzon,Palayan,Nueva Ecija,"Rice (milled, superior)",Cereals And Tubers,KG,Retail,19.5,0.48,0.48,,,,
2000-02-15,2000,2,Region III - Central Luzon,Luzon,Palayan,Nueva Ecija,"Rice (regular, milled)",Cereals And Tubers,KG,Retail,18,0.4431,0.4431,,,,
2000-02-15,2000,2,Region IX - Zamboanga Peninsula,Mindanao,Zamboanga City,Zamboanga del Sur,"Rice (regular, milled)",Cereals And Tubers,KG,Retail,16.85,0.4148,0.4148,,,,
2000-02-15,2000,2,Region VI - Western Visayas,Visayas,Iloilo City,Iloilo,"Rice (milled, superior)",Cereals And Tubers,KG,Wholesale,16.55,0.4074,0.4074,,,,
2000-02-15,2000,2,Region VI - Western Visayas,Visayas,Iloilo City,Iloilo,"Rice (milled, superior)",Cereals And Tubers,KG,Retail,20.5,0.5046,0.5046,,,,
2000-02-15,2000,2,Region VI - Western Visayas,Visayas,Iloilo City,Iloilo,"Rice (regular, milled)",Cereals And Tubers,KG,Retail,17.75,0.4369,0.4369,,,,
2000-02-15,2000,2,Region VI - Western Visayas,Visayas,Iloilo City,Iloilo,"Rice (regular, milled)",Cereals And Tubers,KG,Wholesale,15,0.3692,0.3692,,,,
2000-02-15,2000,2,Region VII - Central Visayas,Visayas,Cebu City,Cebu,"Rice (milled, superior)",Cereals And Tubers,KG,Retail,20,0.4923,0.4923,,,,
2000-02-15,2000,2,Region VII - Central Visayas,Visayas,Cebu City,Cebu,"Rice (milled, superior)",Cereals And Tubers,KG,Wholesale,18.85,0.464,0.464,,,,
2000-02-15,2000,2,Region VII - Central Visayas,Visayas,Cebu City,Cebu,"Rice (regular, milled)",Cereals And Tubers,KG,Retail,18.1,0.4455,0.4455,,,,
