month_date,year,month,month_name,usd_php_rate,num_trading_days,source
2018-01-01,2018,1,Jan,50.5087,21,bsp_historical_file
2018-02-01,2018,2,Feb,51.7856,19,bsp_historical_file
2018-03-01,2018,3,Mar,52.0676,20,bsp_historical_file
2018-04-01,2018,4,Apr,52.0986,20,bsp_historical_file
2018-05-01,2018,5,May,52.1948,21,bsp_historical_file
2018-06-01,2018,6,Jun,53.0476,19,bsp_historical_file
2018-07-01,2018,7,Jul,53.4329,22,bsp_historical_file
2018-08-01,2018,8,Aug,53.2735,21,bsp_historical_file
2018-09-01,2018,9,Sep,53.9419,20,bsp_historical_file
2018-10-01,2018,10,Oct,54.0086,23,bsp_historical_file
2018-11-01,2018,11,Nov,52.8083,19,bsp_historical_file
2018-12-01,2018,12,Dec,52.7691,17,bsp_historical_file
2019-01-01,2019,1,Jan,52.4679,22,bsp_historical_file
2019-02-01,2019,2,Feb,52.1901,18,bsp_historical_file
2019-03-01,2019,3,Mar,52.4134,21,bsp_historical_file
2019-04-01,2019,4,Apr,52.1122,18,bsp_historical_file
2019-05-01,2019,5,May,52.262,21,bsp_historical_file
2019-06-01,2019,6,Jun,51.8029,18,bsp_historical_file
2019-07-01,2019,7,Jul,51.1429,23,bsp_historical_file
2019-08-01,2019,8,Aug,52.0547,19,bsp_historical_file
2019-09-01,2019,9,Sep,52.1052,21,bsp_historical_file
2019-10-01,2019,10,Oct,51.5042,23,bsp_historical_file
2019-11-01,2019,11,Nov,50.7267,20,bsp_historical_file
2019-12-01,2019,12,Dec,50.7671,18,bsp_historical_file
2020-01-01,2020,1,Jan,50.8386,21,bsp_historical_file
2020-02-01,2020,2,Feb,50.7448,19,bsp_historical_file
2020-03-01,2020,3,Mar,50.9036,21,bsp_historical_file
2020-04-01,2020,4,Apr,50.7349,20,bsp_historical_file
2020-05-01,2020,5,May,50.5556,19,bsp_historical_file
2020-06-01,2020,6,Jun,50.0972,21,bsp_historical_file
2020-07-01,2020,7,Jul,49.4675,22,bsp_historical_file
2020-08-01,2020,8,Aug,48.8433,19,bsp_historical_file
2020-09-01,2020,9,Sep,48.5057,22,bsp_historical_file
2020-10-01,2020,10,Oct,48.4822,22,bsp_historical_file
2020-11-01,2020,11,Nov,48.2521,18,bsp_historical_file
2020-12-01,2020,12,Dec,48.0637,18,bsp_historical_file
2021-01-01,2021,1,Jan,48.0614,20,bsp_historical_file
2021-02-01,2021,2,Feb,48.2042,18,bsp_historical_file
2021-03-01,2021,3,Mar,48.5743,23,bsp_historical_file
2021-04-01,2021,4,Apr,48.462,19,bsp_historical_file
2021-05-01,2021,5,May,47.9551,20,bsp_historical_file
2021-06-01,2021,6,Jun,48.1247,22,bsp_historical_file
2021-07-01,2021,7,Jul,49.943,21,bsp_historical_file
2021-08-01,2021,8,Aug,50.2343,21,bsp_historical_file
2021-09-01,2021,9,Sep,50.1421,22,bsp_historical_file
2021-10-01,2021,10,Oct,50.7491,21,bsp_historical_file
2021-11-01,2021,11,Nov,50.3571,20,bsp_historical_file
2021-12-01,2021,12,Dec,50.2478,21,bsp_historical_file
2022-01-01,2022,1,Jan,51.2353,21,bsp_historical_file
2022-02-01,2022,2,Feb,51.2807,18,bsp_historical_file
2022-03-01,2022,3,Mar,52.074,23,bsp_historical_file
2022-04-01,2022,4,Apr,51.976,19,bsp_historical_file
2022-05-01,2022,5,May,52.3617,20,bsp_historical_file
2022-06-01,2022,6,Jun,53.5685,22,bsp_historical_file
2022-07-01,2022,7,Jul,55.8925,21,bsp_historical_file
2022-08-01,2022,8,Aug,55.7501,21,bsp_historical_file
2022-09-01,2022,9,Sep,57.4338,21,bsp_historical_file
2022-10-01,2022,10,Oct,58.8247,20,bsp_historical_file
2022-11-01,2022,11,Nov,57.6523,20,bsp_historical_file
2022-12-01,2022,12,Dec,55.6839,19,bsp_historical_file
2023-01-01,2023,1,Jan,54.9913,21,bsp_historical_file
2023-02-01,2023,2,Feb,54.7831,19,bsp_historical_file
2023-03-01,2023,3,Mar,54.7956,23,bsp_historical_file
2023-04-01,2023,4,Apr,55.3155,16,bsp_historical_file
2023-05-01,2023,5,May,55.7279,22,bsp_historical_file
2023-06-01,2023,6,Jun,55.8946,20,bsp_historical_file
2023-07-01,2023,7,Jul,54.9211,20,bsp_historical_file
2023-08-01,2023,8,Aug,56.1599,21,bsp_historical_file
2023-09-01,2023,9,Sep,56.7869,20,bsp_historical_file
2023-10-01,2023,10,Oct,56.7889,21,bsp_historical_file
2023-11-01,2023,11,Nov,55.8122,19,bsp_historical_file
2023-12-01,2023,12,Dec,55.5877,18,bsp_historical_file
2024-01-01,2024,1,Jan,55.9723,22,bsp_historical_file
2024-02-01,2024,2,Feb,56.0649,20,bsp_historical_file
2024-03-01,2024,3,Mar,55.8493,19,bsp_historical_file
2024-04-01,2024,4,Apr,56.9505,20,bsp_historical_file
2024-05-01,2024,5,May,57.7619,22,bsp_historical_file
2024-06-01,2024,6,Jun,58.6963,18,bsp_historical_file
2024-07-01,2024,7,Jul,58.4845,23,bsp_historical_file
2024-08-01,2024,8,Aug,57.1934,20,bsp_historical_file
2024-09-01,2024,9,Sep,56.0713,21,bsp_historical_file
2024-10-01,2024,10,Oct,57.3009,23,bsp_historical_file
2024-11-01,2024,11,Nov,58.6947,20,bsp_historical_file
2024-12-01,2024,12,Dec,58.448,18,bsp_historical_file
2025-01-01,2025,1,Jan,58.3906,21,bsp_historical_file
2025-02-01,2025,2,Feb,58.0941,20,bsp_historical_file
2025-03-01,2025,3,Mar,57.4246,21,bsp_historical_file
2025-04-01,2025,4,Apr,56.8529,18,bsp_historical_file
